CFM,Color Temp,RGB (0-255),,,HEX RGB (00 - FF)
1931 CIE (2deg) or 1964 CIE (10deg),(Kelvin),R,G,B,RGB
10deg,18400,171,198,255,#abc6ff
2deg,18500,176,195,255,#b0c3ff
10deg,18500,171,198,255,#abc6ff
2deg,18600,175,195,255,#afc3ff
10deg,18600,170,198,255,#aac6ff
2deg,18700,175,195,255,#afc3ff
10deg,18700,170,198,255,#aac6ff
2deg,18800,175,194,255,#afc2ff
10deg,18800,170,198,255,#aac6ff
2deg,18900,175,194,255,#afc2ff
10deg,18900,170,198,255,#aac6ff
2deg,19000,175,194,255,#afc2ff
10deg,19000,170,198,255,#aac6ff
2deg,19100,175,194,255,#afc2ff
10deg,19100,170,198,255,#aac6ff
2deg,19200,174,194,255,#aec2ff
10deg,19200,169,198,255,#a9c6ff
2deg,19300,174,194,255,#aec2ff
10deg,19300,169,197,255,#a9c5ff
2deg,19400,174,194,255,#aec2ff
10deg,19400,169,197,255,#a9c5ff
2deg,19500,174,194,255,#aec2ff
10deg,19500,169,197,255,#a9c5ff
2deg,19600,174,194,255,#aec2ff
10deg,19600,169,197,255,#a9c5ff
2deg,19700,174,193,255,#aec1ff
10deg,19700,169,197,255,#a9c5ff
2deg,19800,174,193,255,#aec1ff
10deg,19800,169,197,255,#a9c5ff
2deg,19900,173,193,255,#adc1ff
10deg,19900,168,197,255,#a8c5ff
2deg,20000,173,193,255,#adc1ff
10deg,20000,168,197,255,#a8c5ff
2deg,20100,173,193,255,#adc1ff
10deg,20100,168,197,255,#a8c5ff
2deg,20200,173,193,255,#adc1ff
10deg,20200,168,197,255,#a8c5ff
2deg,20300,173,193,255,#adc1ff
10deg,20300,168,196,255,#a8c4ff
2deg,20400,173,193,255,#adc1ff
10deg,20400,168,196,255,#a8c4ff
2deg,20500,173,193,255,#adc1ff
10deg,20500,168,196,255,#a8c4ff
2deg,20600,173,192,255,#adc0ff
10deg,20600,167,196,255,#a7c4ff
2deg,20700,172,192,255,#acc0ff
10deg,20700,167,196,255,#a7c4ff
2deg,20800,172,192,255,#acc0ff
10deg,20800,167,196,255,#a7c4ff
2deg,20900,172,192,255,#acc0ff
10deg,20900,167,196,255,#a7c4ff
2deg,21000,172,192,255,#acc0ff
10deg,21000,167,196,255,#a7c4ff
2deg,21100,172,192,255,#acc0ff
10deg,21100,167,196,255,#a7c4ff
2deg,21200,172,192,255,#acc0ff
10deg,21200,167,196,255,#a7c4ff
